Profile;Social network;Likes per post;Average;Profile-ID;Link;Image Link;
"CAACE";INSTAGRAM;364.6271186440678;138.60806348441605;17841403474246557;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841403474246557;https://scontent-ord5-1.xx.fbcdn.net/v/t51.2885-15/468874958_1254605275755960_6431499378945190253_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=7d201b&_nc_ohc=Jemy0rQBaMMQ7kNvwGKsN6D&_nc_oc=AdmTvDjzTF619Pry8b5pyNUmfy3nGY5Nkc0m-KCZtE6STAO3KRfcivo6eEjQlv2I21g&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&oh=00_Afzmd97E3OazwCX4y38SRbRKig1O-QbApGd5uQlstx_WqA&oe=69B0A148;
"Benefícios, vantagens e auxílios para Advocacia Mineira";INSTAGRAM;264.40310077519376;138.60806348441605;17841400976373321;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400976373321;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/561094670_18549584599032546_3932322105090725389_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=-aOYtiyYNPwQ7kNvwE98gca&_nc_oc=AdkW6ixOw7ZYh024pV56X3omVrV5Gn45-5zxZTjn0ZlA5qiABHe0GtGo1ZI2wSyomVs&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=7ixkJiNCvda4v5V1LBfanw&oh=00_AfwLC7D62R_Bi_IIuqC-8x5GaPDV9gP3tCJQjhEhzaWgug&oe=69B09163;
"Caixa de Assistência dos Advogados da Bahia";INSTAGRAM;193.4338842975206;138.60806348441605;2459607615;https://app.fanpagekarma.com/discovery/INSTAGRAM/2459607615;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/609975566_18372536620087616_5446853803376930009_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGtSxxza_88umAY1BUpqzvQ_4VYnipKtlT_hVieKkq2VJJosdY-07KueWuEj4vytRXeTPoPcHzC8QSns_0iGu0o&_nc_ohc=7agCUaNtFoQQ7kNvwEgR8uN&_nc_oc=Adl_Xtv104I2EBrvzMN7pTy9KR-RzX5IkLHaivPvLldnJoh7FqL55BU0ky0IgjE_ygA&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=GT1PViLSvIKFWOQeSxl8ew&oh=00_AfzzsqY5dPR868rC1x_-bNxwQC66SaEmjGoEx54m7Ms0fA&oe=69B09042;
"Caixa dos Advogados do Paraná";INSTAGRAM;186.49327354260083;138.60806348441605;17841417521683352;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841417521683352;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/611655807_18117432103584057_3178003929598860642_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=1VQyNNX8TWYQ7kNvwGObvEx&_nc_oc=Admpr1CeABtzQCqFAoDgswLP6EabBrxyobnGtDPfxxCmJzKBVnFi3SSySmUrqSfenyc&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=klsnZR7acXKl3QrBRhFCww&oh=00_AfyHIBDS11LhPjj83bDlh8DvVy6Cs2oqDeDaUjjAHv5J8g&oe=69B0866A;
"Caixa de Assistência da Advocacia de Pernambuco";INSTAGRAM;183.40495867768595;138.60806348441605;2901947181;https://app.fanpagekarma.com/discovery/INSTAGRAM/2901947181;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/491465105_1333764051071560_2031933112531556826_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeE2nRPLhzhKq4UycBkMY3eVPRbM-AcXKkw9Fsz4BxcqTKcw2dE7mtivanMNf5d4KB7ZQjm1f0GtQKSbCHLUhp1z&_nc_ohc=6e6B5Py63aAQ7kNvwG4FO5h&_nc_oc=AdlU7Q5PbAs_JSKTlKqZgl_1d7VxJ4AL-7EhlVUra_0NZh3c6fl72hbjh4W_XOwq9lM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfyRYw_phm2yRaTLygbi5zjJAUtCAYEhRAGrq9xCaauyWw&oe=69B0B2D4;
"CAA/DF - Caixa de Assistência dos Advogados do DF";INSTAGRAM;167.26182965299685;138.60806348441605;4836964654;https://app.fanpagekarma.com/discovery/INSTAGRAM/4836964654;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/610878061_18356570050164655_2674952024627833758_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_ohc=RSDYETAGulEQ7kNvwFhimgj&_nc_oc=Adn9QOf0jTHAJVISIzQn_alvIQNmprlABMG3Dbt-H69sXqvlwwX4KvRiGXa-6CSm6f8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=nqQKpD4LJb8oECDlgfQn2w&oh=00_AfxW9lqehifxa2lxDYc3jdOnPdYGb-RRi6NeNMStwbDlJA&oe=69B09B70;
"CAASC";INSTAGRAM;153.2265625;138.60806348441605;10263428792;https://app.fanpagekarma.com/discovery/INSTAGRAM/10263428792;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/573787565_18185981533340793_2014625589492087532_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=7d201b&_nc_ohc=CeD-Pcoj1h4Q7kNvwGf8j_O&_nc_oc=AdluUHoOR20WgE9dKs4jwXkFUC_asLYTFzy74D_Qviqi-OvTDhZoCbLglj3rAbrHWuc&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=ZOloXv8kdG2-pc8rpeBUkw&oh=00_AfzKQRbR6Qknt68BH8sZnRAUjvKJKII2gR6qEiRhj7UOwA&oe=69B0B072;
"Caixa de Assistência dos Advogados do RS";INSTAGRAM;147.72830188679245;138.60806348441605;17841402069151111;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841402069151111;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/619180931_18527569453068972_2983968280184199871_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=7d201b&_nc_ohc=_lnlHQFKZu8Q7kNvwHLtLcE&_nc_oc=AdmwH0_SijtLy1M02miQhi9Bqp7xft4iHSqmqYKIEEwTmvwKcjMR9Cr5yxPbBgUshF8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=XoB0jo0PDs14YtpYlN8XMA&oh=00_AfzmxgicpgpqN-jdURLdtijw_GqYBe58C7lHzrdMBdGQLA&oe=69B08146;
"CAASE";INSTAGRAM;126.3378746594005;138.60806348441605;17841400393206555;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400393206555;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/471885533_937938364617724_6089719383343701092_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_ohc=LR0FFBCQTCYQ7kNvwFTCvlu&_nc_oc=AdlsWNfMEZ6hlTglpYU7e9X-F2O8M6E-KsLuqAALfSjAL1n86VmINGgZhP2SZsvXjJM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfzzTRmv53mgqeqPy1Q2Z7cq7fXlNkY2nuVO-mHEL_NlrA&oe=69B088C7;
"CAAPA";INSTAGRAM;112.08139534883719;138.60806348441605;17841404492691901;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841404492691901;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/643593349_18396882688149757_8236270175701781445_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=7d201b&_nc_ohc=FevXspyZtQcQ7kNvwGRh9Yd&_nc_oc=AdnHAO-hNd7Knm_HCjlTK5zmsVSA4mRmQJ66ksdCNaFcjIKwIyUVs9c0Ys7hdnKOXms&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=a8GyRXCb2UYtZaD2rrGhbg&oh=00_Afw7PnlO4RI2A35t_tyQjEjIEbMfWkhDjRGWZD7evSrSYg&oe=69B0A4F3;
"CAASP";INSTAGRAM;107.91474654377878;138.60806348441605;17841410476617937;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841410476617937;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/626633187_18190149016349221_8424125331552165603_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=7d201b&_nc_ohc=YMvi4O1FpMIQ7kNvwFBkzUd&_nc_oc=AdktAVfF0o50WlYd0YYo6BIArBrrbmfL3hXxr6BbaLIXTD1xGA1bfl5Kwqicm-t6NX8&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=HbQJtDxHS381ATp4_2dZnw&oh=00_AfxMZrOVd4mUSq-KP68gOx7nZrt5lAkeoEMx8v9AzlOsTQ&oe=69B0B839;
"CAIXA DE ASSISTÊNCIA DA ADVOCACIA DO PIAUÍ";INSTAGRAM;105.54166666666667;138.60806348441605;413242459;https://app.fanpagekarma.com/discovery/INSTAGRAM/413242459;https://scontent-ord5-3.xx.fbcdn.net/v/t51.82787-15/572265352_18538399021058460_2322562388138490975_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=7d201b&_nc_ohc=FA0hKnjmv2oQ7kNvwEMIo8B&_nc_oc=Adm20xe6Qjx5yfc68G-jFNnmbXvdOBCkSjL7Vcx7GHOsE92R8GiFC-Ti-3Km5Rd-_hM&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&_nc_gid=rDKCJedp6ExraRBE5iOMEQ&oh=00_Afx94kT_Je75ado8kUmduRGSUyPf-KERsUXuIJcu8-CDOQ&oe=69B09624;
"CAAMA | OAB-MA";INSTAGRAM;102.37810945273631;138.60806348441605;3514659890;https://app.fanpagekarma.com/discovery/INSTAGRAM/3514659890;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/643600985_18437488189115891_283843150247240946_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=7d201b&_nc_ohc=NtKSuK3jaBwQ7kNvwFDo1-z&_nc_oc=AdndpT4UCoBeGEzT6ihC9jOkyJOOkji-2mSD0LoUYbAYxpJ_36WIojlQnO0RNTnGx3o&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=vCd7kJ85gAS1QTDk-0Eqcg&oh=00_AfzS-gbymt-WSyBz5HInoEr3A7WC5r93tNIuWUAGdRdSvQ&oe=69B0A8C6;
"CAAAM";INSTAGRAM;98.06474820143889;138.60806348441605;4646306554;https://app.fanpagekarma.com/discovery/INSTAGRAM/4646306554;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/640568778_18391083805154555_3181327465133577354_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=7d201b&_nc_ohc=QsgyeH3pRiQQ7kNvwGo8q2u&_nc_oc=AdnVhPXR3zPqkqCrBFHuXGjnJLRPfhgDtT2t3CUdKQN7yJpsn_fRWWwytOYYC8GDduk&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=o_YJ6qtPmsBw3Uy8oZgUdw&oh=00_AfzQePGvlRRerCe0yVfI_Qq7QmDGPbSF5GyInhsCOozUFg&oe=69B0B3E3;
"CAA-PB";INSTAGRAM;92.43055555555556;138.60806348441605;17841400386061617;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841400386061617;https://scontent-ord5-1.xx.fbcdn.net/v/t51.82787-15/582083711_18547288999012869_4838049512381568389_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=7d201b&_nc_ohc=-aX_RbfvRbIQ7kNvwH50YWv&_nc_oc=AdnAki4H1ShYncdUHmYLTGCw69aWrf-or0l8QIoMnprQMeEm7n5QyNDDgvSUqfSvpO8&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&edm=AL-3X8kEAAAA&_nc_gid=iD4fCu_Y2Q2Bv20nQp7BYQ&oh=00_AfyS7reIkkjmivTmbW2l8qjPLs88ZEIZM_t0E_tet6NzXg&oe=69B095DA;
"CAAES";INSTAGRAM;86.61894273127756;138.60806348441605;3678495101;https://app.fanpagekarma.com/discovery/INSTAGRAM/3678495101;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/589032837_18396715348127102_1029885578868296968_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=7d201b&_nc_ohc=vCWniPmVQwAQ7kNvwEXqDmK&_nc_oc=AdmjZsMpBdthQPqv-_1IMyEdJvKWxu-80fDY1PfinOmyqSSDN6kqpGXeg1K94VLJbz4&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=Bz5qGFRu3schrNnGbQ6DVQ&oh=00_Afxr_8uMlQPuTKnQX9tKIltoyb7q10cnh9wSZWiL6qYj7g&oe=69B09D09;
"Caixa dos Advogados de MS";INSTAGRAM;84.06293706293707;138.60806348441605;17841410444451401;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841410444451401;https://scontent-ord5-2.xx.fbcdn.net/v/t51.2885-15/474178306_466373763186186_4864308983116182029_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=7d201b&_nc_ohc=zu2hu8MDK9IQ7kNvwHZiV6S&_nc_oc=AdkG0NduyFXPO8K4oCvR48DRoaebFIWVV9nawz2uFYy3w41uMEh8j_3ZY5x_ZhiLFK4&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&oh=00_Afwl7vvuWifCKPxBUCVZfDyW4d52l9DCyXcc5VYFHy0o1A&oe=69B08E8A;
"CAARN - OAB/RN";INSTAGRAM;76.19335347432025;138.60806348441605;17841401683966099;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841401683966099;https://scontent-ord5-2.xx.fbcdn.net/v/t51.82787-15/642646431_18565359571056133_8140807864630340008_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=7d201b&_nc_ohc=AHgoOS26nIQQ7kNvwFb-mB0&_nc_oc=AdkBDMPWp1kRmm5aqONvS7EZIsSIo6C6qIZv7LuDiOGEzDGYnli9rT2L9Q9JxPsVCCo&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&edm=AL-3X8kEAAAA&_nc_gid=l3iNpvP48sV5pwFuYh_9oQ&oh=00_Afy7mh3K-CD3QzXASktgtQxhWe10t4_PZzWLpvrlLi2QMw&oe=69B083AE;
"CONCAD";INSTAGRAM;65.76923076923077;138.60806348441605;17841406678046143;https://app.fanpagekarma.com/discovery/INSTAGRAM/17841406678046143;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/24175656_314419505704515_6069228293251399680_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeEcaqzhkBloLENos58POxXdWa38YlgHGdBZrfxiWAcZ0EugS0qBm3LZxag_osMQgF7WZTkAyzmxuzA2-x0SSrRi&_nc_ohc=CBPth8uF1lYQ7kNvwEYmkoj&_nc_oc=AdkTWeQlJYbttYbxFGfS7PpvKKrqpnYc9o5J1Rr5k2JfdGAZ04X5-PUsJfHuMTMsT6g&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_AfyN0R5Dw77nAGHMZ2VrW2veJGcQ3RgRrclfi3mYEFybTA&oe=69B0A273;
"Caixa de Assistência | OAB-TO";INSTAGRAM;54.18867924528302;138.60806348441605;7143321007;https://app.fanpagekarma.com/discovery/INSTAGRAM/7143321007;https://scontent-ord5-3.xx.fbcdn.net/v/t51.2885-15/332569256_620081406619531_7355225797908296742_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=7d201b&_nc_eui2=AeGPdpynmQPg7xvv0kSERWmdiaIaytB7Am2JohrK0HsCbfDf_PUBerTNdLA9n85BU-w9af12pPj2nnSpwsuk5Z06&_nc_ohc=M2kha1MatHMQ7kNvwGgCa6j&_nc_oc=AdmUexCuh7B2VjIPyD8IufmQDiaF1yPpx7isMCSwJRKqMzvdiFU-aATwScmp4cbwxl0&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&edm=AL-3X8kEAAAA&oh=00_Afw03LOjEuXGAVkYvyGmEMJyyiA3B9Dl9Nt7-uGDTz8drQ&oe=69B089E3;
